county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,02-03,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",18,16,56,90
County of Hawaii,02-03,State Senate,1,D,"KAHELE, Gilbert",166,69,348,583
County of Hawaii,02-04,U.S. Senate Vacancy,,R,"CAVASSO, Cam",182,54,218,454
County of Hawaii,02-04,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",26,9,39,74
County of Hawaii,02-04,U.S. Senate Vacancy,,D,"SCHATZ, Brian",1085,305,826,2216
County of Hawaii,02-04,U.S. House,2,R,"CROWLEY, Kawika",125,50,162,337
County of Hawaii,02-04,U.S. House,2,D,"GABBARD, Tulsi",1206,326,928,2460
County of Hawaii,02-04,U.S. House,2,L,"KENT, Joe",14,6,20,40
County of Hawaii,02-04,Governor,,R,AIONA / AHU,338,101,337,776
County of Hawaii,02-04,Governor,,L,DAVIS / MARLIN,8,6,20,34
County of Hawaii,02-04,Governor,,I,HANNEMANN / CHANG,175,58,208,441
County of Hawaii,02-04,Governor,,D,IGE / TSUTSUI,880,233,561,1674
County of Hawaii,02-04,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",144,53,159,356
County of Hawaii,02-04,State Senate,1,D,"KAHELE, Gilbert",1097,319,891,2307
County of Hawaii,02-05,U.S. Senate Vacancy,,R,"CAVASSO, Cam",139,51,97,287
County of Hawaii,02-05,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",9,6,10,25
County of Hawaii,02-05,U.S. Senate Vacancy,,D,"SCHATZ, Brian",846,265,525,1636
County of Hawaii,02-05,U.S. House,2,R,"CROWLEY, Kawika",90,32,62,184
County of Hawaii,02-05,U.S. House,2,D,"GABBARD, Tulsi",924,298,582,1804
County of Hawaii,02-05,U.S. House,2,L,"KENT, Joe",7,6,5,18
County of Hawaii,02-05,Governor,,R,AIONA / AHU,229,82,171,482
County of Hawaii,02-05,Governor,,L,DAVIS / MARLIN,3,0,3,6
County of Hawaii,02-05,Governor,,I,HANNEMANN / CHANG,99,31,95,225
County of Hawaii,02-05,Governor,,D,IGE / TSUTSUI,734,229,391,1354
County of Hawaii,02-05,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",96,32,62,190
County of Hawaii,02-05,State Senate,1,D,"KAHELE, Gilbert",861,289,535,1685
County of Hawaii,03-01,U.S. Senate Vacancy,,R,"CAVASSO, Cam",145,61,178,384
County of Hawaii,03-01,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",20,5,34,59
County of Hawaii,03-01,U.S. Senate Vacancy,,D,"SCHATZ, Brian",806,202,617,1625
County of Hawaii,03-01,U.S. House,2,R,"CROWLEY, Kawika",116,31,127,274
County of Hawaii,03-01,U.S. House,2,D,"GABBARD, Tulsi",871,240,678,1789
County of Hawaii,03-01,U.S. House,2,L,"KENT, Joe",10,4,27,41
County of Hawaii,03-01,Governor,,R,AIONA / AHU,247,70,262,579
County of Hawaii,03-01,Governor,,L,DAVIS / MARLIN,7,2,17,26
County of Hawaii,03-01,Governor,,I,HANNEMANN / CHANG,124,50,140,314
County of Hawaii,03-01,Governor,,D,IGE / TSUTSUI,660,162,442,1264
County of Hawaii,03-01,State Senate,1,L,"ARIANOFF, Gregory (Kobata)",111,30,124,265
County of Hawaii,03-01,State Senate,1,D,"KAHELE, Gilbert",825,229,691,1745
County of Hawaii,03-01,State Representative,3,R,"DICKSON, Bill",89,28,111,228
County of Hawaii,03-01,State Representative,3,L,"FOGEL, Fred F.",36,6,41,83
County of Hawaii,03-01,State Representative,3,D,"ONISHI, Richard H.K.",844,237,677,1758
County of Hawaii,03-02,U.S. Senate Vacancy,,R,"CAVASSO, Cam",33,0,0,33
County of Hawaii,03-02,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",7,1,0,8
County of Hawaii,03-02,U.S. Senate Vacancy,,D,"SCHATZ, Brian",218,6,0,224
County of Hawaii,03-02,U.S. House,2,R,"CROWLEY, Kawika",27,2,0,29
County of Hawaii,03-02,U.S. House,2,D,"GABBARD, Tulsi",224,4,0,228
County of Hawaii,03-02,U.S. House,2,L,"KENT, Joe",6,1,0,7
